Liv__1 Liv__2 Liv__3 Liv__4 Liv__5 Myo__1 Myo__2 Myo__3 Myo__4 Myo__5
Akr1b10 NA 23.7459335596898 NA NA NA 27.9809398542587 28.3214194583247 28.0796954161943 28.6249602636166 28.0951754242801
Akr1b3 28.2704999896892 28.4591955216108 28.5872961015267 27.6227563233806 28.4401849917165 33.5851944233547 33.3511244233475 33.6966511069667 33.3868851598047 33.4996102588616
Akr1b7 24.35011102614 24.4426784880693 24.4858632959261 NA 24.6134941668324 NA NA NA NA NA
Akr1b8 24.1509415954574 22.8890291773687 23.3661555255693 25.1215585167477 22.8422538536045 NA NA NA NA 23.4205664394845
Akr1c12 30.4514742539145 30.3428488151389 30.1289673100226 30.3050699497166 30.2359854290553 NA NA NA NA NA
Akr1c13 31.9946027812002 31.9459005237798 31.8736924090394 32.1883652315765 31.767252829877 NA 29.6873724680539 23.6590729440273 NA 26.796106854406
Akr1c14 31.8497860704788 31.8662678170442 31.6722328556168 31.6918339007421 31.8745679556458 NA NA NA NA NA
Akr1c19 31.2991172188014 31.2375796473681 31.4347846904061 31.1732861259305 31.1643689708654 NA NA NA NA NA
Akr1c20 27.4781729723046 27.2818017596734 27.1591860506749 27.0441301272874 26.9632889099455 NA NA NA NA NA
Akr1c6 34.7937391675668 34.7754532645513 34.7618592739152 34.6899483870626 34.740951085481 NA NA NA NA NA
Akr1d1 31.5829925045669 31.6883672846991 31.5257667045389 31.3246454880533 31.6434080628781 NA NA NA NA NA
Akr1e1 28.5304128847201 28.1218349998043 27.0948066849509 28.1362574951124 28.2940999795445 NA 25.4803700904102 25.1648431299481 NA 25.7330282618327
Akr7a5 29.7862482827606 29.8664072846778 29.6070032587918 29.4495408272503 30.0008969540855 NA NA 27.4726852186291 25.5912151551192 27.8941211711071
Alad 27.6558783128017 27.0834568403224 27.6669265865566 27.7903863583833 27.3934793678614 NA NA NA NA 26.5030155879971
Alas1 NA 25.6008223962962 25.8201328465139 25.221517315793 25.4452485069378 NA NA NA NA NA
Alb 36.2387006246636 36.4961368792115 35.8903541493482 35.6696251229783 36.1607020305266 35.6438305863176 36.284517754724 36.5503963190215 35.4198032065049 36.5512071708095
Alcam 27.108354912152 27.6178883358365 27.1098100984305 27.9854586933565 27.3328397048785 NA 27.2511579099861 NA 26.8246428199212 26.6816045044604
Aldh16a1 25.7407031427378 25.551490951911 25.4803234110722 25.4103014579389 25.7214049927961 NA NA NA NA NA
Aldh1a1 35.6787365989555 35.4848032908229 35.5444528435131 35.4170023394303 35.6458498334158 30.4150373116252 26.0189794988638 26.7774633707073 27.9467785183851 28.1475983932699
