Protein.ID Gene.Name name ID
364 ENSMUSP00000158393 Capn1 Capn1 ENSMUSP00000158393
365 ENSMUSP00000068895 Capn2 Capn2 ENSMUSP00000068895
366 ENSMUSP00000103831 Capns1 Capns1 ENSMUSP00000103831
367 ENSMUSP00000106777 Caprin1 Caprin1 ENSMUSP00000106777
368 ENSMUSP00000102381 Capza1 Capza1 ENSMUSP00000102381
369 ENSMUSP00000015877 Capza2 Capza2 ENSMUSP00000015877
370 ENSMUSP00000038011 Capzb Capzb ENSMUSP00000038011
371 ENSMUSP00000137926 Car1 Car1 ENSMUSP00000137926
372 ENSMUSP00000036983 Car14 Car14 ENSMUSP00000036983
373 ENSMUSP00000029078 Car2 Car2 ENSMUSP00000029078
374 ENSMUSP00000029076 Car3 Car3 ENSMUSP00000029076
375 ENSMUSP00000060457 Car5a Car5a ENSMUSP00000060457
376 ENSMUSP00000008537 Carhsp1 Carhsp1 ENSMUSP00000008537
